1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
69.0,-62.9,13.8,-24.7,28.94,46.79,37.21,-8.77,28.94,-33.99,peace
69.25,-62.91,13.75,-24.7,28.82,46.83,37.15,-8.71,28.89,-33.96,peace
69.26,-62.83,13.81,-24.66,28.78,46.9,37.12,-8.65,28.86,-33.87,peace
69.33,-62.73,13.91,-24.85,28.71,46.81,37.07,-8.69,28.82,-33.88,peace
69.23,-62.67,14.03,-24.77,28.8,46.84,37.26,-8.6,28.97,-33.82,peace
69.5,-62.68,13.85,-24.89,28.73,46.81,37.2,-8.59,28.93,-33.87,peace
69.46,-62.77,13.77,-24.99,28.57,46.73,37.05,-8.56,28.79,-33.83,peace
69.48,-62.73,13.74,-24.97,28.56,46.72,36.92,-8.51,28.71,-33.78,peace
69.52,-62.81,13.66,-25.06,28.46,46.72,36.85,-8.47,28.69,-33.7,peace
69.58,-62.66,13.74,-25.22,28.51,46.58,36.8,-8.7,28.66,-33.89,peace
69.98,-62.65,13.6,-25.34,28.28,46.58,36.76,-8.67,28.57,-33.87,peace
69.98,-62.7,13.55,-25.23,28.21,46.7,36.75,-8.54,28.6,-33.77,peace
69.84,-62.78,13.59,-25.3,28.13,46.46,36.72,-8.79,28.52,-34.01,peace
69.92,-62.74,13.7,-25.18,28.15,46.55,36.8,-8.76,28.54,-34.0,peace
70.14,-62.66,13.68,-25.18,28.07,46.63,36.83,-8.65,28.61,-33.96,peace
70.3,-62.66,13.67,-25.17,28.0,46.74,36.86,-8.54,28.67,-33.87,peace
70.22,-62.6,13.69,-25.11,28.08,46.82,37.01,-8.47,28.82,-33.81,peace
70.21,-62.2,13.74,-25.01,28.18,46.77,36.99,-8.58,28.86,-34.04,peace
70.48,-62.34,13.58,-25.0,27.93,46.91,37.05,-8.23,28.9,-33.76,peace
70.48,-62.28,13.53,-24.94,27.96,46.89,36.98,-8.18,28.83,-33.81,peace
70.62,-62.29,13.57,-25.02,27.89,46.92,37.0,-8.18,28.89,-33.9,peace
70.71,-62.18,13.6,-24.92,27.95,46.98,37.18,-8.23,29.06,-34.0,peace
70.86,-62.31,13.37,-24.96,27.87,47.02,37.13,-8.16,29.03,-33.96,peace
70.85,-62.58,13.14,-25.16,27.73,46.86,36.8,-8.17,28.74,-33.93,peace
70.65,-62.88,13.14,-25.23,27.72,46.79,36.62,-8.32,28.52,-33.98,peace
70.69,-62.6,13.34,-25.41,27.82,46.57,36.66,-8.61,28.5,-34.22,peace
70.44,-62.59,13.4,-25.18,28.15,46.68,36.86,-8.69,28.64,-34.39,peace
70.27,-62.7,13.29,-25.17,28.19,46.63,36.83,-8.68,28.57,-34.46,peace
70.14,-62.62,13.28,-24.99,28.36,46.76,36.86,-8.67,28.5,-34.31,peace
70.06,-62.48,13.4,-24.97,28.49,46.78,36.91,-8.77,28.48,-34.25,peace
70.21,-62.58,13.27,-25.0,28.41,46.77,36.8,-8.72,28.35,-34.19,peace
70.34,-62.65,13.2,-25.04,28.37,46.65,36.84,-8.69,28.41,-34.22,peace
70.21,-62.9,13.08,-24.97,28.37,46.68,36.78,-8.52,28.46,-34.06,peace
69.93,-62.86,13.2,-25.04,28.35,46.61,36.67,-8.5,28.36,-33.91,peace
70.01,-62.76,13.24,-25.03,28.36,46.61,36.66,-8.46,28.36,-33.8,peace
70.04,-62.85,13.15,-25.07,28.3,46.55,36.59,-8.56,28.26,-33.84,peace
70.35,-62.88,13.15,-25.08,28.27,46.59,36.74,-8.48,28.47,-33.86,peace
70.17,-62.96,13.13,-25.02,28.19,46.62,36.69,-8.35,28.5,-33.73,peace
69.92,-63.0,13.1,-24.98,28.17,46.64,36.61,-8.2,28.46,-33.54,peace
70.09,-62.93,13.14,-25.15,27.98,46.54,36.46,-8.33,28.3,-33.6,peace
70.3,-62.84,13.16,-25.16,27.85,46.59,36.38,-8.33,28.26,-33.6,peace
70.2,-62.77,13.27,-25.03,27.89,46.68,36.53,-8.25,28.41,-33.61,peace
70.34,-62.8,13.17,-25.03,27.84,46.67,36.51,-8.17,28.33,-33.6,peace
70.7,-62.71,13.08,-25.0,27.68,46.83,36.48,-8.07,28.32,-33.5,peace
70.74,-62.63,13.13,-24.85,27.73,46.9,36.59,-8.12,28.39,-33.55,peace
70.89,-62.54,13.15,-24.96,27.71,46.9,36.61,-8.19,28.39,-33.59,peace
70.79,-62.56,13.14,-24.99,27.68,46.91,36.6,-8.12,28.37,-33.49,peace
70.84,-62.58,13.1,-25.15,27.57,46.78,36.47,-8.22,28.15,-33.55,peace
70.94,-62.51,13.15,-25.01,27.71,46.88,36.72,-8.07,28.47,-33.45,peace
70.69,-62.51,13.23,-24.95,27.85,46.91,36.84,-7.97,28.6,-33.37,peace
71.0,-62.47,13.09,-25.01,27.69,47.0,36.86,-7.95,28.57,-33.4,peace
71.16,-62.49,13.03,-25.13,27.56,46.98,36.81,-7.97,28.52,-33.41,peace
70.99,-62.47,13.07,-25.15,27.58,46.93,36.75,-8.07,28.42,-33.51,peace
70.79,-62.39,13.18,-25.08,27.69,46.96,36.93,-8.14,28.51,-33.61,peace
70.84,-62.37,13.22,-25.09,27.75,46.95,36.97,-8.16,28.62,-33.67,peace
70.68,-62.49,13.1,-24.99,27.84,47.05,37.04,-7.95,28.75,-33.54,peace
70.54,-62.67,12.94,-25.1,27.71,46.99,36.81,-7.94,28.57,-33.53,peace
70.04,-62.84,13.02,-25.19,27.72,46.78,36.75,-8.04,28.43,-33.53,peace
70.02,-62.79,13.11,-25.26,27.83,46.62,36.82,-8.27,28.48,-33.73,peace
69.69,-62.75,13.24,-25.09,28.09,46.56,36.92,-8.32,28.56,-33.78,peace
70.01,-62.85,13.02,-25.02,27.96,46.69,36.79,-8.12,28.51,-33.6,peace
69.97,-62.76,13.16,-25.03,28.02,46.59,36.84,-8.25,28.53,-33.71,peace
69.92,-62.66,13.3,-24.99,28.14,46.59,36.96,-8.39,28.61,-33.79,peace
69.85,-62.7,13.22,-24.87,28.09,46.69,36.98,-8.38,28.63,-33.77,peace
70.28,-62.84,13.23,-25.15,28.05,46.54,36.91,-8.4,28.51,-33.81,peace
70.33,-62.74,13.21,-25.05,28.09,46.62,37.04,-8.31,28.7,-33.76,peace
70.41,-62.8,13.13,-25.16,27.91,46.62,36.95,-8.27,28.64,-33.68,peace
70.3,-62.73,13.21,-25.15,27.96,46.6,37.1,-8.33,28.83,-33.71,peace
69.75,-62.7,13.31,-25.07,28.23,46.46,37.0,-8.61,28.64,-33.95,peace
69.86,-62.6,13.37,-24.97,28.38,46.5,37.15,-8.63,28.79,-34.03,peace
69.55,-62.67,13.39,-24.98,28.5,46.35,37.1,-8.7,28.66,-34.14,peace
69.69,-62.7,13.3,-25.05,28.42,46.35,36.97,-8.68,28.56,-34.06,peace
69.36,-62.69,13.49,-25.0,28.52,46.31,36.97,-8.7,28.58,-34.08,peace
68.99,-62.78,13.49,-24.78,28.65,46.4,36.95,-8.69,28.55,-34.06,peace
68.98,-62.72,13.54,-24.71,28.71,46.4,37.04,-8.75,28.58,-34.17,peace
69.21,-62.6,13.52,-24.71,28.5,46.42,36.85,-8.68,28.49,-34.11,peace
69.03,-62.42,13.77,-24.66,28.64,46.35,37.04,-8.74,28.65,-34.2,peace
68.94,-62.43,13.76,-24.69,28.55,46.37,37.07,-8.77,28.69,-34.16,peace
68.86,-62.43,13.78,-24.75,28.5,46.32,36.96,-8.89,28.64,-34.24,peace
68.75,-62.38,13.88,-24.76,28.5,46.3,37.01,-9.01,28.67,-34.33,peace
68.64,-62.27,14.03,-24.62,28.65,46.36,37.19,-9.02,28.85,-34.35,peace
68.48,-62.28,14.08,-24.67,28.59,46.25,37.03,-9.17,28.71,-34.47,peace
68.46,-62.28,14.02,-24.6,28.54,46.3,36.93,-9.11,28.64,-34.4,peace
68.39,-62.18,14.14,-24.62,28.5,46.28,36.95,-9.08,28.75,-34.34,peace
68.59,-62.22,14.03,-24.68,28.5,46.3,36.84,-9.02,28.71,-34.28,peace
68.59,-62.26,13.97,-24.67,28.52,46.35,36.87,-8.98,28.72,-34.32,peace
68.84,-62.37,13.79,-24.65,28.41,46.44,36.88,-8.84,28.79,-34.29,peace
68.77,-62.3,13.79,-24.65,28.39,46.48,36.77,-8.82,28.7,-34.23,peace
68.66,-62.34,13.78,-24.68,28.33,46.52,36.72,-8.83,28.71,-34.14,peace
68.68,-62.4,13.8,-24.89,28.31,46.28,36.67,-9.08,28.6,-34.41,peace
69.08,-62.37,13.71,-24.85,28.36,46.41,36.88,-8.92,28.88,-34.33,peace
69.21,-62.44,13.61,-24.84,28.37,46.44,36.84,-8.79,28.82,-34.29,peace
69.33,-62.46,13.5,-24.86,28.23,46.55,36.75,-8.69,28.78,-34.09,peace
69.29,-62.44,13.52,-24.92,28.13,46.47,36.63,-8.77,28.63,-34.15,peace
69.23,-62.51,13.42,-24.74,28.16,46.63,36.79,-8.6,28.71,-34.02,peace
